CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
County
GeoFips,GeoName,LineCode,Description,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
36107,"Tioga, NY",1,Real GDP (thousands of chained 2017 dollars),1077804,1215641,1332021,1488254,1490027,1574149,1540533,1533713,1715733,1803710,1864207
36107,"Tioga, NY",3,Current-dollar GDP (thousands of current dollars),1153844,1278292,1368536,1472619,1456467,1513580,1477575,1483960,1675129,1767948,1843773
36109,"Tompkins, NY",1,Real GDP (thousands of chained 2017 dollars),5447954,5452780,5495854,5729544,5892894,6121849,6083580,6123189,6018223,5937712,6082558
36109,"Tompkins, NY",3,Current-dollar GDP (thousands of current dollars),4149643,4293423,4454792,4736496,5014768,5259950,5307015,5472345,5494508,5546192,5834673
36111,"Ulster, NY",1,Real GDP (thousands of chained 2017 dollars),6638097,6745077,6752665,7031679,6967102,7117457,7065707,7134836,7191471,7175535,7139599
36111,"Ulster, NY",3,Current-dollar GDP (thousands of current dollars),5103541,5366392,5532620,5869593,5945083,6120593,6158568,6368891,6565299,6699081,6860391
36113,"Warren, NY",1,Real GDP (thousands of chained 2017 dollars),3509822,3528700,3514304,3759294,3997600,4039159,3912669,3940177,3951534,4035493,4204673
36113,"Warren, NY",3,Current-dollar GDP (thousands of current dollars),2770520,2882501,2952508,3207131,3494753,3552941,3484030,3583387,3660873,3810766,4065565
36115,"Washington, NY",1,Real GDP (thousands of chained 2017 dollars),1740503,1693473,1704358,1778326,1818814,1869237,1901102,1968546,1939275,1899044,1864251
36115,"Washington, NY",3,Current-dollar GDP (thousands of current dollars),1327115,1343532,1396707,1482275,1558344,1615352,1678276,1777975,1797701,1790319,1795552
36117,"Wayne, NY",1,Real GDP (thousands of chained 2017 dollars),3170431,3241303,3426995,3605367,3620180,3846302,3660676,3701159,3796021,3600377,3734618
36117,"Wayne, NY",3,Current-dollar GDP (thousands of current dollars),2501578,2651783,2874482,3065393,3213998,3404355,3294088,3380614,3550134,3460253,3659571
36119,"Westchester, NY",1,Real GDP (thousands of chained 2017 dollars),70144579,71315442,73027210,73410892,72501565,75474741,75676774,79014741,78307384,79109021,79320460
36119,"Westchester, NY",3,Current-dollar GDP (thousands of current dollars),54820744,57598219,60620889,61704772,62032090,65126327,66024510,70341528,71250105,73783620,75864211
36121,"Wyoming, NY",1,Real GDP (thousands of chained 2017 dollars),1480020,1437008,1404149,1417614,1317699,1582686,1567482,1591024,1630056,1750678,1633749
36121,"Wyoming, NY",3,Current-dollar GDP (thousands of current dollars),1147830,1139701,1170613,1203976,1139532,1383738,1413350,1466766,1549232,1692261,1586994
36123,"Yates, NY",1,Real GDP (thousands of chained 2017 dollars),1100196,981139,852155,865349,845168,900837,811118,825925,857256,872832,889631
36123,"Yates, NY",3,Current-dollar GDP (thousands of current dollars),837149,769737,690667,717325,715702,770400,721227,754582,805095,832095,859057
42001,"Adams, PA",1,Real GDP (thousands of chained 2017 dollars),3258002,3400782,3396711,3481667,3540362,3492310,3560178,3661621,3711568,3721392,3830516
42001,"Adams, PA",3,Current-dollar GDP (thousands of current dollars),2531807,2733444,2802355,2943323,3082755,3062586,3176398,3334887,3447706,3528067,3713553
